champion,opponentChampion,kills,deaths,assists,win,killParticipation,csdiff14min,jungleCsdiff14,turretPlatesTaken,golddiff14min,xpDiff14,dmgChamps14,totalDmgChamps,teamDamagePercentage,visionScore,visionScorePerMinute,visionWardsBoughtInGame,controlWardsPlaced,wardTakedowns,wardsPlaced,completeSupportQuestInTime
Malphite,Jayce,6,6,14,0,40.81632653061224,-23,0,2,-746,-429,6763,23209,14.811404259636571,38,1.0684996822833472,7,7,4,12,0
Camille,KSante,16,2,11,1,64.28571428571429,29,0,3,1442,1904,9875,34055,27.10265985915823,11,0.4147659518719604,1,0,3,3,0
Rumble,Riven,5,4,5,1,32.25806451612903,30,2,1,-49,1028,5311,21365,18.78312944304659,28,1.053876424284341,5,5,4,14,0
Jax,Corki,13,7,8,1,51.21951219512195,-29,0,0,-863,-1125,8185,32930,22.9040273855422,47,1.268791865267816,8,8,6,21,0
Camille,Fiora,14,2,12,1,57.77777777777777,23,-2,2,1076,1049,9864,46590,26.887949628958285,27,0.7636582754942091,3,3,5,8,0
Camille,Riven,6,8,7,0,35.13513513513514,5,0,4,-1562,-857,4599,21497,17.981069246719983,19,0.5713595005613019,1,1,4,5,0
Aurora,Camille,4,10,16,0,42.5531914893617,26,2,4,2051,2006,10404,41502,20.27792608234317,24,0.6350876546760857,4,4,4,9,0
Vayne,KSante,8,1,14,1,50.0,3,0,1,-123,443,8006,33015,23.45945492018785,27,0.9297555228110452,5,4,0,13,0
Gwen,Garen,8,6,5,0,76.47058823529412,30,0,6,2256,934,7910,32005,34.96211107712892,34,1.1847258994186871,5,5,8,10,0
Ornn,Kennen,2,1,8,1,29.411764705882355,9,0,1,942,1939,6010,10259,13.180902106776076,22,0.972974155643371,4,4,1,10,0
Renekton,Pantheon,3,3,1,0,23.52941176470588,8,0,3,555,1293,3554,7281,12.1226744109674,14,0.6351085688722328,3,2,0,7,0
Malphite,Jayce,2,4,3,0,41.66666666666667,-37,0,0,-2449,-582,6775,9627,18.126776525935053,14,0.7702110952055716,1,1,0,7,0
Olaf,Varus,4,1,2,1,35.294117647058826,12,0,4,1947,1371,4861,6103,18.347098408432576,7,0.4904485282104553,2,1,0,4,0
Renekton,Akshan,5,8,9,0,45.16129032258064,-17,0,4,-867,-982,7233,20649,22.496522677758357,16,0.6175483803551843,3,2,2,7,0
Aatrox,Rumble,0,5,1,0,11.11111111111111,22,-4,1,-452,337,4934,11141,17.829335498681143,8,0.3621958092737366,0,0,0,5,0
Renekton,Akali,9,3,11,1,54.054054054054056,12,0,2,1156,705,8157,24099,20.479218815310286,15,0.5366994788327463,3,2,2,6,0
Varus,Rumble,10,9,6,0,80.0,-20,0,0,-1134,-992,5893,22576,36.481502283916704,17,0.6647869298670306,3,3,1,9,0
Gwen,Aatrox,11,9,6,0,45.94594594594595,10,0,0,-116,182,8587,52801,36.0713142294158,25,0.8728532641435407,2,2,4,7,0
Jax,Smolder,2,1,3,1,21.73913043478261,8,0,1,530,743,6511,9487,22.37702015077165,12,0.7930088135914921,2,1,0,6,0
Gwen,Aatrox,6,6,8,0,63.63636363636363,-3,0,0,-419,-614,5403,26240,21.28664531446792,27,0.8392859323043941,5,5,5,10,0
Rumble,Akali,5,4,10,1,46.875,0,0,0,213,724,7624,22832,24.379464997199825,25,1.1402182536692491,4,3,2,10,0
Gwen,Shen,5,0,6,1,52.38095238095239,68,0,4,2882,2544,5950,15339,21.89905301055532,23,0.9833193164111969,4,2,2,8,0
Irelia,Aatrox,4,7,2,0,60.0,-27,0,1,-1388,-2630,5043,14333,21.093034562507867,9,0.442683260396962,2,1,0,6,0
Renekton,Irelia,9,2,5,1,51.85185185185185,12,0,3,1093,719,5306,15787,17.275423306661416,24,0.8990843997290529,2,2,4,8,0
Renekton,Rumble,1,10,4,0,38.46153846153847,-25,-8,0,-2746,-1719,6433,14547,18.51527630051544,14,0.5201481011938354,1,1,1,6,0
Renekton,Vladimir,7,8,6,1,36.11111111111111,-16,-4,7,288,53,6693,19367,16.336046682317267,16,0.5181705333301553,4,3,3,8,0
Malphite,Aatrox,1,8,14,1,39.47368421052632,-26,0,0,-1476,-874,5712,13613,10.476374863373996,21,0.7755502062483858,3,3,2,7,0
Gwen,Ornn,18,1,4,1,73.33333333333333,30,2,3,2129,539,9375,41454,39.87169713965816,26,0.9393882967039762,3,3,3,7,0
Jax,Irelia,7,2,9,1,59.25925925925925,-3,-6,3,-1573,-28,5026,21672,25.790720426564267,18,0.662212597126405,4,3,1,9,0
Rumble,Sion,11,6,12,1,62.16216216216216,-11,4,1,-1066,648,13250,52530,30.9812970257824,21,0.6457188490248924,3,3,3,10,0
Rumble,Illaoi,10,4,7,1,48.57142857142857,-4,0,0,223,-9,9240,31882,25.606920772948197,27,0.9042506023727226,5,5,18,11,0
Garen,Akali,5,6,1,0,26.08695652173913,14,4,2,1265,1432,6104,18345,24.138440972352367,19,0.7813069829661715,2,2,0,10,0
Jayce,Gnar,4,9,4,1,22.22222222222222,17,-4,5,510,-13,9148,27881,21.245771514793923,38,1.2567432535871623,2,2,4,12,0
Garen,Nasus,11,8,5,1,57.14285714285714,6,-4,1,-1959,-1043,7946,33598,25.767486594252425,23,0.7713189801778211,3,1,3,12,0
Nocturne,Nasus,4,7,2,0,20.689655172413797,-11,-4,1,-1399,-1957,6854,12744,15.449986760599993,15,0.668486395478341,0,0,1,8,0
Garen,Jax,11,4,7,1,40.0,46,0,5,2132,2191,9402,36817,25.664999112918352,27,0.9455445025348675,3,3,0,13,0
Zeri,Ornn,3,10,4,0,17.073170731707318,0,0,0,-520,163,8677,27970,20.650982903490224,39,1.231999917477786,2,2,7,12,0
Olaf,Mordekaiser,2,1,1,1,17.647058823529413,34,0,4,1671,485,7863,7863,19.608394064811662,14,0.9370379718146348,1,1,1,6,0
Renekton,Fiora,2,8,5,0,18.91891891891892,-4,0,3,-562,-511,8402,20543,18.038490794227357,26,0.9184184052866228,1,1,3,11,0
Gangplank,Akali,2,5,2,0,44.44444444444444,-8,0,1,106,545,6682,23261,35.10103060577066,17,0.620294379773308,1,1,1,10,0
Gangplank,Aatrox,8,3,4,1,52.17391304347826,22,0,5,2484,1059,14337,33214,38.24902164268125,26,1.0156900819173589,2,2,5,9,0
Camille,Nasus,6,8,8,0,51.85185185185185,1,0,3,-83,373,11239,34421,26.405518298580887,24,0.8115268710398053,1,1,3,11,0
Jayce,Malphite,15,3,4,1,55.88235294117647,55,0,2,2040,1580,8680,36556,30.87514377611949,26,1.0288447860507697,2,2,6,10,0
Yone,Aatrox,5,3,5,1,34.48275862068966,39,0,2,1757,1152,8282,22627,22.301696361652503,32,0.92395512391782,2,2,11,13,0
Olaf,Varus,13,6,9,1,52.38095238095239,39,-2,7,1889,875,8430,27930,22.617205054568768,27,0.8806841457670933,3,3,2,12,0
Olaf,Jayce,4,6,1,0,38.46153846153847,9,0,3,636,764,6122,20882,25.92270969356808,14,0.6294826863721216,1,1,0,8,0
Yone,Skarner,5,5,1,1,24.0,13,4,0,332,-216,8229,16242,21.87513838897146,19,0.9295015861445276,2,2,1,9,0
Tryndamere,Aurora,3,7,2,0,33.33333333333333,14,0,2,632,291,8904,18880,19.97871720651817,22,0.8554025289291215,1,1,5,9,0
Yasuo,Azir,1,5,0,0,20.0,-35,0,1,-2046,-2309,5919,6249,22.09470895133322,9,0.6522344761920229,0,0,1,5,0
Tryndamere,Jayce,13,1,6,1,57.57575757575758,42,4,7,3992,3060,9958,31841,37.11757159441999,17,0.7553104500321206,0,0,5,7,0
Renekton,KSante,11,8,7,0,58.06451612903226,46,0,5,4234,2776,14387,23084,22.07370822080736,26,0.9306713416718168,1,1,6,9,0
Zac,Mordekaiser,1,6,6,0,50.0,4,0,2,360,399,7767,15635,26.445386002712574,12,0.5920621326757985,1,1,1,7,0
Zac,Cassiopeia,10,7,5,0,83.33333333333334,27,0,5,2956,2162,9431,37089,36.76729828548712,32,1.074752884139285,4,3,6,12,0
Zac,Mordekaiser,3,3,2,1,20.833333333333336,26,-1,3,1962,1617,10935,10980,25.63347428207684,5,0.3642564640520497,1,1,0,5,0
Zac,Darius,7,12,11,0,54.54545454545454,-53,-4,0,-3730,-3202,4992,24183,18.726645368927457,26,0.8283449139049686,0,0,5,11,0
Corki,Jayce,2,10,3,0,15.625,18,0,1,464,650,6805,20492,18.597803602297414,27,0.9098441541896783,2,2,8,10,0
Corki,Aatrox,4,7,3,0,36.84210526315789,42,0,5,2088,1730,10498,27709,29.066770645777503,15,0.5525036223902314,0,0,2,8,0
Ornn,Rumble,3,10,10,0,37.142857142857146,-28,0,2,-1016,-508,7325,28193,17.504337370810184,27,0.7966701414438714,2,2,1,14,0
KSante,Camille,6,6,9,1,51.72413793103448,18,0,5,1833,813,10307,30736,25.288327614309352,23,0.8013066900864709,2,1,0,12,0
Renekton,Aatrox,6,9,0,0,42.85714285714285,23,-4,4,735,1228,13828,28915,39.01627685957958,29,1.2255114774720957,3,3,2,11,0
Vladimir,Jax,4,4,1,0,62.5,3,0,0,-458,-204,8172,13184,29.010573975728445,15,0.6915974775177767,1,1,0,9,0
