champion,opponentChampion,kills,deaths,assists,win,killParticipation,csdiff14min,jungleCsdiff14,turretPlatesTaken,golddiff14min,xpDiff14,dmgChamps14,totalDmgChamps,teamDamagePercentage,visionScore,visionScorePerMinute,visionWardsBoughtInGame,controlWardsPlaced,wardTakedowns,wardsPlaced,completeSupportQuestInTime
Nasus,Riven,9,2,4,0,61.90476190476191,12,0,3,967,999,7763,26001,27.23959622854136,13,0.4069691996664984,3,1,2,5,0
Yone,Gwen,1,4,1,0,50.0,-27,0,1,-1494,-1814,5608,7539,29.866040181562457,11,0.7183065294935498,1,1,0,6,0
Sylas,Aatrox,1,4,2,0,60.0,-30,0,0,-939,-1327,10571,11199,34.03991714096188,11,0.7345955057996302,2,2,2,7,0
Kennen,Gnar,6,1,1,1,30.434782608695656,12,0,4,1503,1728,9708,12232,25.175500443051025,12,0.7663367224603889,3,2,1,6,0
Aatrox,Gragas,2,3,2,0,44.44444444444444,-17,0,0,-660,-711,5449,11334,16.2826827336382,20,0.8492081120200322,3,3,5,7,0
Irelia,Aatrox,15,1,6,1,51.21951219512195,60,2,3,3153,3123,13525,35066,29.365299714922187,10,0.4625496595166745,2,1,1,6,0
Renekton,Camille,6,3,6,0,48.0,13,0,6,889,322,9963,27165,21.30483916593608,26,0.9062766930066932,3,2,5,6,0
KSante,Mordekaiser,4,0,0,1,15.384615384615383,11,0,5,2356,1695,9623,11590,17.504575014043866,11,0.7269177730592066,1,1,1,6,0
Irelia,Aatrox,5,4,7,1,30.0,39,-10,3,2461,958,6151,22639,16.171466492580834,29,0.9509653552131252,7,5,4,10,0
Aatrox,Sejuani,2,6,6,0,40.0,21,0,2,-349,595,9602,17144,19.46227809530837,33,1.177536599754241,5,4,5,10,0
Aurora,Jayce,5,3,5,0,55.55555555555556,-1,0,3,1248,2037,10225,18231,21.6627891484816,25,1.0510920927789908,6,6,4,11,0
Aurora,Lucian,7,2,5,1,34.285714285714285,6,0,2,1172,1193,8080,21207,23.436338136958742,18,0.7307681721233173,4,3,3,9,0
Rumble,Ryze,2,3,8,1,40.0,-16,4,2,-374,-45,8292,15417,20.336613364808,26,1.2720813235913635,5,5,5,9,0
Yasuo,Gnar,1,2,6,1,20.588235294117645,5,5,2,-116,237,5323,10732,13.08885346401414,12,0.646098521851064,2,1,2,7,0
Renekton,Akali,0,4,1,0,16.666666666666664,-12,0,1,-1868,-1510,6222,6265,23.54200506320336,13,0.8715640234110438,2,1,1,6,0
Aurora,Sylas,0,2,5,0,55.55555555555556,18,0,1,-645,-656,10597,14969,27.48424989960416,5,0.306052467270946,1,0,1,4,0
Akali,Yone,8,3,7,0,62.5,-20,0,0,346,-387,5655,26440,23.50963508716596,20,0.7461111084607904,7,6,2,9,0
Aurora,Kennen,3,0,3,1,33.33333333333333,-15,0,2,452,768,7437,9483,24.00435826606047,11,0.7236075205424631,2,2,1,5,0
Yone,Jayce,5,6,6,1,36.66666666666666,-20,-4,1,-860,-83,5245,31173,25.97870465393915,33,1.0240228584868605,7,5,5,15,0
Jayce,Kennen,8,3,3,1,31.428571428571427,-12,2,1,69,252,6750,20674,21.327158631417905,29,1.1516404624910692,2,2,5,10,0
Smolder,KSante,7,6,8,1,35.714285714285715,2,0,1,115,489,7737,34692,24.45199829499759,12,0.4101563846931704,3,2,0,11,0
Rumble,Kennen,2,1,0,1,14.285714285714285,-11,0,0,-75,-224,6985,7397,23.19018600053539,11,0.7301251207180313,1,1,2,5,0
Aurora,Gragas,8,6,7,1,34.88372093023256,25,0,6,1515,870,10440,31793,23.78126713297267,17,0.5981192495171485,3,3,0,11,0
Irelia,Sylas,4,4,3,1,35.0,10,0,1,327,185,8764,10191,22.416175576427293,27,1.6257780946507434,2,2,4,8,0
Aurora,Warwick,9,1,1,1,43.47826086956522,12,0,2,1847,2834,18489,22731,36.66249798109358,15,0.8211622624140316,2,1,1,6,0
Rumble,Pantheon,11,0,11,1,52.38095238095239,58,0,4,2544,3451,6979,36144,28.880355654801125,30,0.9860004568399112,2,2,5,5,0
Renekton,Singed,6,9,10,0,42.10526315789473,24,0,5,-264,176,9823,29761,18.04222232181269,30,0.9105020045600694,5,4,6,7,0
Smolder,Olaf,2,2,2,1,20.0,11,0,2,362,811,6150,11751,18.78561590574606,17,0.8263609529035661,2,2,1,8,0
Aurora,Malphite,4,2,3,1,21.875,48,0,5,1557,750,9174,17373,16.652070427187,17,0.7787522824626169,1,1,2,5,0
KSante,Vayne,0,4,3,0,18.75,8,0,0,-845,-20,2986,8482,9.881348815339578,23,0.8184430368218493,2,2,7,2,0
Rumble,KSante,3,3,10,0,72.22222222222221,-12,-2,0,-557,-271,9249,14114,19.52119105645797,16,0.7040428984739852,3,3,2,8,0
Lucian,Aurora,4,9,1,0,33.33333333333333,-22,2,1,-3200,-1882,7861,12901,28.429498957292594,16,0.8116739553280579,3,3,1,9,0
Rumble,Fiora,12,2,10,1,55.00000000000001,15,0,0,-72,956,7221,41395,27.7019022337808,26,0.7027814529467237,5,3,3,8,0
Jax,Renekton,6,3,7,1,35.13513513513514,21,0,3,2038,1690,6100,15390,15.214020752847116,18,0.8414573909621613,3,2,3,9,0
Rumble,Gnar,2,0,3,1,26.31578947368421,28,0,2,1479,2172,8877,10285,24.86022526003065,12,0.8294436802919536,2,2,1,7,0
Akali,Cassiopeia,5,2,3,1,33.33333333333333,17,0,2,345,509,5605,16419,19.716337996164867,18,0.6915014870405621,5,5,2,8,0
Rumble,LeeSin,5,2,0,0,55.55555555555556,38,0,2,1408,1439,6100,11672,24.0046215753784,22,1.0927396022160492,5,3,3,7,0
Aatrox,Varus,5,1,6,1,34.375,-11,-2,1,1442,1305,8636,15768,20.13530488572392,21,1.0085846828891571,2,2,5,6,0
Aatrox,Malphite,5,0,6,1,39.285714285714285,64,0,5,2982,2737,8045,18310,29.357656963878505,15,0.8223136760579417,3,3,1,9,0
Rumble,Renekton,1,5,1,0,28.57142857142857,3,0,1,-1228,-592,9031,14038,31.330765718266072,19,0.9961606532902874,3,3,1,8,0
Lucian,Aurora,1,6,5,0,33.33333333333333,6,0,3,214,54,9522,15565,19.748532117384617,18,0.8033709562523346,4,3,1,9,0
Smolder,KSante,7,3,7,1,51.85185185185185,14,0,0,102,947,9095,30065,34.12603634683834,14,0.5455896147809516,1,1,1,9,0
Aatrox,Poppy,9,0,1,1,52.63157894736842,42,0,8,4627,3933,12787,14864,36.655474243162864,9,0.6457151391065883,2,2,1,4,0
Rumble,Poppy,5,2,2,1,24.13793103448276,22,4,3,758,124,7192,18849,23.39963916698747,17,0.7706487370189385,3,3,2,7,0
Irelia,Jayce,3,5,2,1,26.31578947368421,-16,8,0,-88,-140,5917,7912,18.115057382403,14,0.8853787206133554,3,2,1,7,0
Smolder,Maokai,9,3,8,1,44.73684210526316,33,0,1,430,122,10102,35235,27.55139536538701,24,0.8902908283933538,2,2,2,9,0
Aurora,Lucian,0,3,6,0,46.15384615384615,-49,0,0,-2473,-1697,5310,11810,18.696704704248013,11,0.5299203107227497,1,1,1,6,0
Aurora,Jayce,0,6,3,1,13.043478260869565,-10,0,2,-1901,-967,6928,11300,16.350111189373603,26,1.1668075844795005,3,3,7,8,0
Rumble,Renekton,3,8,3,0,54.54545454545454,-19,4,0,-1388,-1287,10991,23547,33.09766453089091,13,0.5812652717928171,1,1,2,5,0
Jayce,Zeri,4,3,2,0,27.27272727272727,19,0,5,1855,2071,8555,17686,23.03015732617301,34,1.197416857586737,3,3,5,12,0
Renekton,Rumble,2,4,0,0,18.181818181818183,-38,0,0,-2898,-2214,5320,5320,15.991838075659148,12,0.8307473671156532,1,1,1,6,0
